DE,FR
de,fr
die Post,le courrier
die Bretagne,la Bretagne
ein Dorf,un village
jdm. gefallen,plaire à qn
tauchen,plonger
etw. bevorzugen,préférer qc
ein Strand,une plage
auf etw. treten,marcher sur qc
eine Krabbe,un crabe
ein Aquarium,un aquarium
eine Reise,un voyage
das Meer,la mer
ein Unterseeboot,un sous-marin
Viele Grüße,Amitiés.
die Auvergne (frz. Region),l'Auvergne (f.)
alles,tout
ein Ferienlager,une colo(nie de vacances)
ein(e) Animateur(in),un(e) mono
fast/beinahe,presque
die Erde,la terre
etw. lernen/etw. erfahren,apprendre qc
das Leben,la vie
ein Vulkan,un volcan
ein Berg/ein Gebirge,une montagne
jdn. küssen/umarmen,embrasser qn
Kuckuck!/Hallo!,Coucou!
Brüssel,Bruxelles
eine Stadt,une ville
sich jdn./etw. vorstellen,imaginer qn/qc
das Atomium,l'Atomium
Manneken Pis (Wahrzeichen von Brüssel),le Maneken Pis
Knokke am Meer (Badeort in Belgien),Knokke le Zoute
am Ufer/am Rande von etw.,au bord de qc
schwimmen,nager
der Genfer See,le Lac Léman
die Altstadt,la vieille ville
das Olympische Museum,le Musée Olympique
Genf,Genève
ein Segelboot,un voilier
