-English(Kanji),Hiragana(Romaji)
en_kanji,hiragana
I (formal for males / normal for females) 私,わたし (watashi)
I (normal for males) 僕,ぼく (boku)
he 彼,かれ (kare)
she 彼女,かのじょ (kanojo)
person 人,ひと (hito)
dog 犬,いぬ (inu)
cat 猫,ねこ (neko)
house 家,いえ (ie)
you (singular/normal),あなた (anata)
this (noun),これ (kore)
here,ここ (koko)
this (descriptive),この (kono)
that (noun),それ (sore)
there,そこ (soko)
that (descriptive),その (sono)
Thank you (normal),ありがとう (arigatou)
Thank you (formal),ありがとう ございます (arigatou gozaimasu)
You're welcome (normal),どういたしまして (douitashimashite)
Good morning (informal),おはよう (ohayou)
Good morning,おはようございます (ohayou gozaimasu)
Hello (normal),こんにちは (konnichiwa)
Good evening (normal),こんばんは (konbanwa)
Goodbye (normal),さよなら (sayonara)
